method,path,handler_line,engines_used,mutates,called_from,auth_in_handler,rbac_permission,status
POST,/api/admin/returns/approve,server.ts:1340,serverDb supplierEngine notificationService,getOrderById adjustInventory updateOrderStatus addAuditLog,NONE,n,-,ORPHAN(no client caller)
GET,/api/admin/refunds,server.ts:1386,serverDb,,NONE,n,-,ORPHAN(no client caller)
POST,/api/admin/refunds/process,server.ts:1394,serverDb paymentService notificationService,getOrderById adjustInventory addAuditLog,NONE,n,-,ORPHAN(no client caller)
GET,/api/finance/summary,server.ts:1449,,,src/admin/FinanceAdmin.tsx,n,-,WIRED
GET,/api/finance/expenses,server.ts:1458,serverDb,expenses,src/admin/FinanceAdmin.tsx,n,-,WIRED
POST,/api/finance/expenses,server.ts:1462,serverDb,addExpense,src/admin/FinanceAdmin.tsx,n,-,WIRED
DELETE,/api/finance/expenses/:id,server.ts:1479,serverDb,deleteExpense,src/admin/FinanceAdmin.tsx,n,-,WIRED
GET,/api/finance/settlements,server.ts:1488,serverDb,settlements,src/admin/FinanceAdmin.tsx,n,-,WIRED
POST,/api/finance/settlements,server.ts:1492,serverDb,addSettlement,src/admin/FinanceAdmin.tsx,n,-,WIRED
POST,/api/finance/settlements/:id/status,server.ts:1514,serverDb,updateSettlementStatus,src/admin/FinanceAdmin.tsx,n,-,WIRED
GET,/api/finance/reconciliation,server.ts:1527,,,src/admin/FinanceAdmin.tsx,n,-,WIRED
GET,/api/reports/analytics,server.ts:1539,reportService,,src/admin/Dashboard.tsx | src/admin/ReportsAdmin.tsx,n,-,WIRED
GET,/api/reports/districts,server.ts:1551,reportService,,NONE,n,-,ORPHAN(no client caller)
GET,/api/reports/financial-pnl,server.ts:1565,reportService,,NONE,n,-,ORPHAN(no client caller)
GET,/api/reports/inventory-health,server.ts:1575,reportService,,NONE,n,-,ORPHAN(no client caller)
GET,/api/reports/customer-cohorts,server.ts:1584,reportService,,NONE,n,-,ORPHAN(no client caller)
